NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
6,40,3,169.58,27.62,1301.03,4.99,2.35,8.2
6,30,3,169.58,27.62,1301.03,4.99,2.35,8.2
2-1/2,10,16,31.57,63.78,559.33,4.96,5.42,15.0
3,10,13,38.74,57.49,618.77,4.94,4.88,13.82
4,10,10,50.21,50.43,703.27,4.93,4.28,12.49
10,20,2,250.55,22.55,1569.46,4.92,1.92,7.24
10,10,3,166.66,27.62,1278.62,4.9,2.35,8.2
4,20,6,83.33,39.06,904.13,4.9,3.32,10.35
6,10,6,82.96,39.06,900.11,4.88,3.32,10.35
2,40,15,32.62,61.76,559.69,4.8,5.25,14.62
2,30,15,32.62,61.76,559.69,4.8,5.25,14.62
5,10,7,69.38,42.19,813.04,4.76,3.58,10.94
4,30,5,96.45,35.66,955.32,4.73,3.03,9.71
4,40,5,96.45,35.66,955.32,4.73,3.03,9.71
2-1/2,20,10,48.25,50.43,675.86,4.73,4.28,12.49
8,10,4,119.81,31.89,1061.36,4.7,2.71,9.0
3,30,7,67.76,42.19,794.07,4.65,3.58,10.94
2-1/2,10,15,31.57,61.76,541.57,4.65,5.25,14.62
3,40,7,67.76,42.19,794.07,4.65,3.58,10.94
2-1/2,40,9,51.8,47.84,688.3,4.57,4.06,12.0
2-1/2,30,9,51.8,47.84,688.3,4.57,4.06,12.0
3,10,12,38.74,55.24,594.5,4.56,4.69,13.39
2,30,14,32.62,59.66,540.71,4.48,5.07,14.22
2,40,14,32.62,59.66,540.71,4.48,5.07,14.22
4,10,9,50.21,47.84,667.18,4.43,4.06,12.0
3,20,7,63.94,42.19,749.29,4.39,3.58,10.94
5,20,4,111.67,31.89,989.31,4.38,2.71,9.0
12,40,1,443.17,15.95,1962.98,4.35,1.35,6.0
2-1/2,10,14,31.57,59.66,523.2,4.34,5.07,14.22
8,30,2,220.9,22.55,1383.78,4.33,1.92,7.24
2-1/2,20,9,48.25,47.84,641.18,4.26,4.06,12.0
12,10,2,215.87,22.55,1352.24,4.24,1.92,7.24
2,20,16,26.88,63.78,476.21,4.22,5.42,15.0
3,10,11,38.74,52.89,569.19,4.18,4.49,12.95
2,30,13,32.62,57.49,521.04,4.16,4.88,13.82
2,40,13,32.62,57.49,521.04,4.16,4.88,13.82
4,20,5,83.33,35.66,825.35,4.09,3.03,9.71
5,10,6,69.38,39.06,752.73,4.08,3.32,10.35
2-1/2,40,8,51.8,45.1,648.93,4.07,3.83,11.49
2-1/2,30,8,51.8,45.1,648.93,4.07,3.83,11.49
6,10,5,82.96,35.66,821.68,4.07,3.03,9.71
2-1/2,10,13,31.57,57.49,504.17,4.03,4.88,13.82
3,40,6,67.76,39.06,735.17,3.99,3.32,10.35
3,30,6,67.76,39.06,735.17,3.99,3.32,10.35
2,20,15,26.88,61.76,461.09,3.95,5.25,14.62
6,20,3,133.89,27.62,1027.19,3.94,2.35,8.2
4,10,8,50.21,45.1,629.02,3.94,3.83,11.49
8,20,2,199.9,22.55,1252.21,3.92,1.92,7.24
2,40,12,32.62,55.24,500.6,3.84,4.69,13.39
2,30,12,32.62,55.24,500.6,3.84,4.69,13.39
12,30,1,391.11,15.95,1732.42,3.84,1.35,6.0
5,40,3,130.6,27.62,1001.96,3.84,2.35,8.2
5,30,3,130.6,27.62,1001.96,3.84,2.35,8.2
1-1/2,40,16,24.3,63.78,430.48,3.81,5.42,15.0
1-1/2,30,16,24.3,63.78,430.48,3.81,5.42,15.0
3,10,10,38.74,50.43,542.7,3.8,4.28,12.49
2-1/2,20,8,48.25,45.1,604.51,3.79,3.83,11.49
4,30,4,96.45,31.89,854.47,3.78,2.71,9.0
4,40,4,96.45,31.89,854.47,3.78,2.71,9.0
3,20,6,63.94,39.06,693.71,3.76,3.32,10.35
2-1/2,10,12,31.57,55.24,484.39,3.72,4.69,13.39
2,10,16,23.58,63.78,417.79,3.7,5.42,15.0
2,20,14,26.88,59.66,445.45,3.69,5.07,14.22
1-1/2,30,15,24.3,61.76,416.81,3.58,5.25,14.62
1-1/2,40,15,24.3,61.76,416.81,3.58,5.25,14.62
2-1/2,40,7,51.8,42.19,607.02,3.56,3.58,10.94
2-1/2,30,7,51.8,42.19,607.02,3.56,3.58,10.94
10,40,1,361.75,15.95,1602.36,3.55,1.35,6.0
8,10,3,119.81,27.62,919.16,3.53,2.35,8.2
2,40,11,32.62,52.89,479.29,3.52,4.49,12.95
2,30,11,32.62,52.89,479.29,3.52,4.49,12.95
2,10,15,23.58,61.76,404.52,3.47,5.25,14.62
4,10,7,50.21,42.19,588.4,3.45,3.58,10.94
2,20,13,26.88,57.49,429.25,3.43,4.88,13.82
3,10,9,38.74,47.84,514.85,3.42,4.06,12.0
2-1/2,10,11,31.57,52.89,463.77,3.41,4.49,12.95
