NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ)
3,10,9,38.74,47.84,514.85,3.42
2-1/2,10,11,31.57,52.89,463.77,3.41
5,10,5,69.38,35.66,687.15,3.4
1-1/2,30,14,24.3,59.66,402.68,3.34
1-1/2,40,14,24.3,59.66,402.68,3.34
1-1/2,20,16,21.23,63.78,376.16,3.33
6,30,2,169.58,22.55,1062.29,3.33
6,40,2,169.58,22.55,1062.29,3.33
3,30,5,67.76,35.66,671.11,3.32
3,40,5,67.76,35.66,671.11,3.32
2-1/2,20,7,48.25,42.19,565.47,3.31
5,20,3,111.67,27.62,856.77,3.29
4,20,4,83.33,31.89,738.22,3.27
10,10,2,166.66,22.55,1043.99,3.27
6,10,4,82.96,31.89,734.94,3.26
2,10,14,23.58,59.66,390.8,3.24
2,40,10,32.62,50.43,456.98,3.2
2,30,10,32.62,50.43,456.98,3.2
1-1/4,40,16,20.35,63.78,360.63,3.19
1-1/4,30,16,20.35,63.78,360.63,3.19
2,20,12,26.88,55.24,412.41,3.16
3,20,5,63.94,35.66,633.27,3.14
1-1/2,20,15,21.23,61.76,364.22,3.12
1-1/2,30,13,24.3,57.49,388.03,3.1
1-1/2,40,13,24.3,57.49,388.03,3.1
2-1/2,10,10,31.57,50.43,442.19,3.1
2-1/2,40,6,51.8,39.06,561.99,3.05
2-1/2,30,6,51.8,39.06,561.99,3.05
3,10,8,38.74,45.1,485.41,3.04
2,10,13,23.58,57.49,376.59,3.01
1-1/4,30,15,20.35,61.76,349.18,3.0
10,30,1,306.08,15.95,1355.78,3.0
1-1/4,40,15,20.35,61.76,349.18,3.0
4,10,6,50.21,39.06,544.75,2.96
12,20,1,298.28,15.95,1321.2,2.93
1-1/2,10,16,18.66,63.78,330.64,2.93
1-1/2,20,14,21.23,59.66,351.87,2.92
2,20,11,26.88,52.89,394.85,2.9
2,30,9,32.62,47.84,433.53,2.88
2,40,9,32.62,47.84,433.53,2.88
1-1/2,40,12,24.3,55.24,372.81,2.86
1-1/2,30,12,24.3,55.24,372.81,2.86
4,40,3,96.45,27.62,739.99,2.84
2-1/2,20,6,48.25,39.06,523.52,2.84
4,30,3,96.45,27.62,739.99,2.84
1-1/4,30,14,20.35,59.66,337.34,2.8
1-1/4,40,14,20.35,59.66,337.34,2.8
2-1/2,10,9,31.57,47.84,419.5,2.79
2,10,12,23.58,55.24,361.81,2.78
1-1/2,10,15,18.66,61.76,320.14,2.75
5,10,4,69.38,31.89,614.6,2.72
1-1/2,20,13,21.23,57.49,339.07,2.71
1-1/4,20,16,17.24,63.78,305.46,2.71
3,40,4,67.76,31.89,600.26,2.66
3,10,7,38.74,42.19,454.06,2.66
3,30,4,67.76,31.89,600.26,2.66
2,20,10,26.88,50.43,376.47,2.64
6,20,2,133.89,22.55,838.7,2.63
1-1/2,40,11,24.3,52.89,356.94,2.62
1-1/2,30,11,24.3,52.89,356.94,2.62
1-1/4,30,13,20.35,57.49,325.07,2.6
1-1/4,40,13,20.35,57.49,325.07,2.6
2,40,8,32.62,45.1,408.74,2.56
5,30,2,130.6,22.55,818.1,2.56
2,30,8,32.62,45.1,408.74,2.56
5,40,2,130.6,22.55,818.1,2.56
1-1/2,10,14,18.66,59.66,309.29,2.56
2-1/2,30,5,51.8,35.66,513.03,2.54
2-1/2,40,5,51.8,35.66,513.03,2.54
1-1/4,10,16,16.16,63.78,286.34,2.54
2,10,11,23.58,52.89,346.41,2.54
1-1/4,20,15,17.24,61.76,295.76,2.54
3,20,4,63.94,31.89,566.41,2.51
1-1/2,20,12,21.23,55.24,325.77,2.5
8,40,1,255.29,15.95,1130.81,2.5
2-1/2,10,8,31.57,45.1,395.51,2.48
4,10,5,50.21,35.66,497.28,2.46
10,20,1,250.55,15.95,1109.78,2.46
4,20,3,83.33,27.62,639.31,2.45
6,10,3,82.96,27.62,636.47,2.44
1-1/4,40,12,20.35,55.24,312.32,2.4
1-1/4,30,12,20.35,55.24,312.32,2.4
1-1/2,10,13,18.66,57.49,298.04,2.38
1-1/4,10,15,16.16,61.76,277.25,2.38
1-1/2,30,10,24.3,50.43,340.33,2.38
1-1/2,40,10,24.3,50.43,340.33,2.38
2-1/2,20,5,48.25,35.66,477.91,2.37
1-1/4,20,14,17.24,59.66,285.73,2.37
2,20,9,26.88,47.84,357.16,2.37
1,40,16,15.01,63.78,266.02,2.36
1,30,16,15.01,63.78,266.02,2.36
8,10,2,119.81,22.55,750.5,2.35
2,10,10,23.58,50.43,330.29,2.31
1-1/2,20,11,21.23,52.89,311.9,2.29
3,10,6,38.74,39.06,420.37,2.28
2,40,7,32.62,42.19,382.34,2.24
2,30,7,32.62,42.19,382.34,2.24
1-1/4,10,14,16.16,59.66,267.85,2.22
1,30,15,15.01,61.76,257.57,2.21
1,40,15,15.01,61.76,257.57,2.21
1-1/2,10,12,18.66,55.24,286.34,2.2
1-1/4,20,13,17.24,57.49,275.34,2.2
1-1/4,40,11,20.35,52.89,299.02,2.2
1-1/4,30,11,20.35,52.89,299.02,2.2
5,20,2,111.67,22.55,699.55,2.19
2-1/2,10,7,31.57,42.19,369.96,2.17
8,30,1,220.9,15.95,978.48,2.17
1-1/2,30,9,24.3,47.84,322.86,2.15
1-1/2,40,9,24.3,47.84,322.86,2.15
12,10,1,215.87,15.95,956.18,2.12
2,20,8,26.88,45.1,336.73,2.11
1-1/2,20,10,21.23,50.43,297.38,2.08
2,10,9,23.58,47.84,313.34,2.08
1-1/4,10,13,16.16,57.49,258.11,2.06
1,30,14,15.01,59.66,248.84,2.06
1,40,14,15.01,59.66,248.84,2.06
1,20,16,13.09,63.78,231.89,2.05
5,10,3,69.38,27.62,532.26,2.04
2-1/2,30,4,51.8,31.89,458.87,2.03
2-1/2,40,4,51.8,31.89,458.87,2.03
1-1/4,20,12,17.24,55.24,264.54,2.03
1-1/2,10,11,18.66,52.89,274.15,2.01
1-1/4,40,10,20.35,50.43,285.11,2.0
1-1/4,30,10,20.35,50.43,285.11,2.0
3,30,3,67.76,27.62,519.84,1.99
3,40,3,67.76,27.62,519.84,1.99
4,10,4,50.21,31.89,444.79,1.97
1,10,16,12.55,63.78,222.44,1.97
8,20,1,199.9,15.95,885.45,1.96
1,20,15,13.09,61.76,224.52,1.93
2,40,6,32.62,39.06,353.98,1.92
2,30,6,32.62,39.06,353.98,1.92
1,40,13,15.01,57.49,239.78,1.91
1-1/2,30,8,24.3,45.1,304.4,1.91
1-1/2,40,8,24.3,45.1,304.4,1.91
1,30,13,15.01,57.49,239.78,1.91
1-1/4,10,12,16.16,55.24,247.98,1.9
3,10,5,38.74,35.66,383.75,1.9
2-1/2,20,4,48.25,31.89,427.45,1.89
4,40,2,96.45,22.55,604.2,1.89
4,30,2,96.45,22.55,604.2,1.89
3,20,3,63.94,27.62,490.53,1.88
1-1/2,20,9,21.23,47.84,282.12,1.87
2-1/2,10,6,31.57,39.06,342.52,1.86
1-1/4,20,11,17.24,52.89,253.27,1.86
2,10,8,23.58,45.1,295.42,1.85
2,20,7,26.88,42.19,314.98,1.85
1,10,15,12.55,61.76,215.37,1.85
1-1/2,10,10,18.66,50.43,261.4,1.83
1-1/4,40,9,20.35,47.84,270.48,1.8
1,20,14,13.09,59.66,216.91,1.8
1-1/4,30,9,20.35,47.84,270.48,1.8
